shipid,cargid ,convid,convType,EntryMonth,EntryDay,fromport,NotePort,fromportJP,province,cargtype,cargqual,cargqualJP,cargquant,UoM,NoteCarg,Taxid,taxAmountKanmon,taxPayMonth,taxPayDay,NoteSekiryo,LaissezPasser1,Volume concerné1,LaissezPasser2,Volume concerné2,LaissezPasser3,Volume concerné3,LaissezPasser4,Volume concerné4,LaissezPasser5,Volume concerné5,Libellé,Note laissez-passer,capid,capname,capnameJP,NoteCap,agentid,agentname,agentnameJP,agentNote,Latitude,Longitude,note
10,11,2,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,300,koku,,9,0.760 ,1,23,,null,null,null,null,null,null,null,null,null,null,null,,209,Saemonrokuro,左衛門六郎,,TOI6,Donen,道念,,34.482111,134.312722,
11,12,2,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,180,koku,,10,0.450 ,1,25,公方へ,null,null,null,null,null,null,null,null,null,null,null,,209,Saemonrokuro,左衛門六郎,四百五十文代正廿二,TOI6,Donen,道念,,34.482111,134.312722,
12,13,2,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,300,koku,,11,0.750 ,1,22,,null,null,null,null,null,null,null,null,null,null,null,,50,Hayashi,林,,TOI6,Donen,道念,,34.482111,134.312722,
13,14,2,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,230,koku,,12,0.570 ,1,22,,null,null,null,null,null,null,null,null,null,null,null,,228,Seisaburo,勢三郎,,TOI6,Donen,道念,,34.482111,134.312722,
14,15,3,C,1,14,Kuise,,杭瀬,Settsu,rice,riz,米・コメ,28,koku,,13,0.520 ,1,14,,null,null,null,null,null,null,null,null,null,null,null,,295,Tayutaro,大夫太郎,,0,Aucun,null,,34.717917,135.438028,
15,16,3,C,1,14,Kuise,,杭瀬,Settsu,rice,riz,米・コメ,7,koku,,14,0.130 ,1,14,,null,null,null,null,null,null,null,null,null,null,null,,295,Tayutaro,大夫太郎,,0,Aucun,null,,34.717917,135.438028,
16,17,,null,1,17,Nakashō,,中庄,Harima,salt,Mihara,三原・三ハら,55,koku,,15,0.200 ,1,22,,null,null,null,null,null,null,null,null,null,null,null,,245,Shiroemon,四郎衛門,,TOI35,Magotaro,孫太郎,,34.742861,134.389972,
17,18,,null,1,17,Mugi,,麦井・牟井・牟木,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,16,0.350 ,1,27,,null,null,null,null,null,null,null,null,null,null,null,,196,Saburoemon,三郎衛門,,TOI23,Jiro2,次郎,nom quasi illisible,33.669444,134.418361,
18,19,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,130,kokume,,17,0.400 ,2,3,,null,null,null,null,null,null,null,null,null,null,null,,294,Tayushiro,大夫四郎,,TOI30,Kiya,木屋・木や,nom quasi illisible,34.29225,134.944639,
19,20,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,10,kokume,,18,0.260 ,1,21,公方へ,null,null,null,null,null,null,null,null,null,null,null,,199,Saburojiro2,三郎次郎,由良口　二百六十文代替二月二日,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
20,21,4,B,1,19,Yura,,由良,Awaji,salt,Awa,阿波塩・アわ塩・アワシホ,90,koku,kokume,19,0.200 ,1,27,,null,null,null,null,null,null,null,null,null,null,null,,13,Emon,衛門,祖ノ,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
21,22,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,100,kokume,,20,0.300 ,1,21,公方へ,null,null,null,null,null,null,null,null,null,null,null,,295,Tayutaro,大夫太郎,三百文　二百五十文代替二月二日,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
22,23,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,80,kokume,,21,0.245 ,1,30,,null,null,null,null,null,null,null,null,null,null,null,,108,Kanimori,掃部,林,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
23,24,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,150,kokume,,22,0.450 ,1,30,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,金,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
24,25,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,120,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,95,Jirozaburo1,二郎三郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
25,26,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,100,kokume,,23,0.330 ,1,30,,null,null,null,null,null,null,null,null,null,null,null,,80,Jibutaro,治部太郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
26,27,4,B,1,19,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,80,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,128,Koemonjiro,小衛門二郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
27,28,,null,2,2,Mihara,,三原,Bingo,salt,shio,シヨ・塩・シヲ・シホ,35,koku,,24,0.160 ,2,2,,null,null,null,null,null,null,null,null,null,null,null,,292,Tayujiro1,大夫二郎,,TOI8,Doyu,道祐,,34.397739,133.078049,
28,29,,null,2,2,Tarumi,,垂水,Harima,salt,Mihara,三原・三ハら,15,koku,,25,0.100 ,2,2,,null,null,null,null,null,null,null,null,null,null,null,,301,Togoro,藤五郎,,TOI36,Magotaro(Minami),孫太郎（南）,南,34.629722,135.053556,
29,30,,null,2,2,Hyōgo,,兵庫（地下）,Settsu,algae,arame,荒布・アラメ,40,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,39,Gorozaburo,五郎三郎,いの,0,Aucun,null,,34.669639,135.174528,
30,31,,null,2,2,Hibi,,日比,Bizen,paper,papier A,帋,1,da,,26,0.630 ,2,25,代替六百三十文　内　三百卅文請取二十五,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,久積,TOI8,Doyu,道祐,,34.459278,133.925417,
30,32,,null,2,2,Hibi,,日比,Bizen,rice,riz,米・コメ,20,koku,五斗ヘウ,26,0.630 ,2,25,,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,久積,TOI8,Doyu,道祐,,34.459278,133.925417,
30,33,,null,2,2,Hibi,,日比,Bizen,salt,Kojima,小嶋・小シマ,40,koku,,26,0.630 ,2,25,,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,久積,TOI8,Doyu,道祐,,34.459278,133.925417,
31,34,,null,2,2,Kannonji,,観音寺,Sanuki,rice,riz,米・コメ,20,koku,サヌキ斗,27,0.850 ,2,25,米五斗也　サヌキ斗　請取出候,null,null,null,null,null,null,null,null,null,null,null,,158,Matajiro,又二郎,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.128111,133.649167,
31,35,,null,2,2,Kannonji,,観音寺,Sanuki,rice,riz rouge,赤米,25,koku,サヌキ斗,27,0.850 ,2,25,,null,null,null,null,null,null,null,null,null,null,null,,158,Matajiro,又二郎,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.128111,133.649167,
31,36,,null,2,2,Kannonji,,観音寺,Sanuki,beans,fèves,マメ,15,koku,サヌキ斗,27,0.850 ,2,25,,null,null,null,null,null,null,null,null,null,null,null,,158,Matajiro,又二郎,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.128111,133.649167,
31,37,,null,2,2,Kannonji,,観音寺,Sanuki,cereals,sarrasin,ソハ,10,koku,サヌキ斗,27,0.850 ,2,25,,null,null,null,null,null,null,null,null,null,null,null,,158,Matajiro,又二郎,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.128111,133.649167,
32,38,,null,2,2,Shimotsui,,下津井,Bizen,salt,Kojima,小嶋・小シマ,220,koku,,28,1.045 ,2,5,,null,null,null,null,null,null,null,null,null,null,null,,69,Hyoeshiro,兵衛四郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
33,39,5,B_3,2,3,Hayashi,,林,Harima,salt,Aga,あか・アカ・阿賀,40,koku,,29,0.230 ,2,4,,null,null,null,null,null,null,null,null,null,null,null,,147,Magogoro,孫五郎,,TOI35,Magotaro,孫太郎,,34.6465,134.972111,
34,40,5,B_3,2,3,Hayashi,,林,Harima,salt,Higashiyama,東山塩,20,koku,,30,0.130 ,2,3,,null,null,null,null,null,null,null,null,null,null,null,,269,Sukeroku,助六,,TOI8,Doyu,道祐,,34.6465,134.972111,
35,41,6,B_1,2,3,Kanno.ura,,甲浦,Tosa,wood/construction materials,planches,材木,300,kokume,,31,0.820 ,2,6,廿一日　四百文請取　二月廿九公方へ　前浜板百枚上八日　板料也杉桁十丁也八日　,null,null,null,null,null,null,null,null,null,null,null,,234,Shichirozaemon,七郎左衛門,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
36,42,6,B_1,2,3,Kanno.ura,,甲浦,Tosa,wood/construction materials,planches,材木,120,kokume,,32,0.350 ,2,9,杉桁十丁也,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,枝舟,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
37,43,6,B_1,2,3,Kaifu,,海部,Awa,wood/construction materials,bois brut,榑・クレ,80,kokume,,33,0.520 ,2,12,榑五そく上　立用,null,null,null,null,null,null,null,null,null,null,null,,156,Magozaemon,孫左衛門,,TOI25,Jirozaburo1,二郎三郎,,33.59425,134.355417,
38,44,7,B_1,2,3,Matsue,,松江,Harima,salt,Mihara,三原・三ハら,55,koku,,34,0.220 ,2,4,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,,TOI25,Jirozaburo1,二郎三郎,,34.653583,134.959111,
39,45,7,B_1,2,3,Anaka,,あなか・阿那賀,Awaji,salt,Mihara,三原・三ハら,60,koku,,35,0.230 ,2,3,,null,null,null,null,null,null,null,null,null,null,null,,116,Katabesaburo,形部三郎,,TOI25,Jirozaburo1,二郎三郎,,34.271056,134.670389,
40,46,8,B_1,2,3,Amagasaki,,尼崎,Settsu,salt,Mihara,三原・三ハら,40,koku,,36,0.170 ,2,3,,null,null,null,null,null,null,null,null,null,null,null,,296,Tayuzaburo,大夫三郎,大物,TOI14,Emontaro,衛門太郎,,34.713861,135.418167,
41,47,8,B_1,2,3,Hiketa,,引田,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,6,koku,,37,0.065 ,2,4,,null,null,null,null,null,null,null,null,null,null,null,,263,Sukebei1,助兵衛,,TOI14,Emontaro,衛門太郎,,34.226861,134.403528,
42,48,9,C,2,3,Hayashi,,林,Harima,rice,riz,米・コメ,40,koku,,100 000,0.000 ,0,0,,Iwashimizu Hachimangū,null,null,null,null,null,null,null,null,null,八幡領舩曳年貢物,Redevances domaine Funahiki (Harima),108,Kanimori,掃部,,0,Aucun,null,,34.6465,134.972111,
43,49,9,C,2,3,Hayashi,,林,Harima,rice,riz,米・コメ,35.5,koku,米卅五石五斗,100 000,0.000 ,0,0,,Iwashimizu Hachimangū,null,null,null,null,null,null,null,null,null,八幡領舩曳年貢物,Redevances domaine Funahiki (Harima),108,Kanimori,掃部,,0,Aucun,null,,34.6465,134.972111,
44,50,,null,2,4,Aji,,庵治・阿治・菴治,Sanuki,salt,Katamoto,方本・潟元,260,koku,,38,0.750 ,2,6,,null,null,null,null,null,null,null,null,null,null,null,,213,Saemonzaburo,左衛門三郎,,TOI18,Gorotaro,五郎太郎,,34.388222,134.130333,
45,51,10,B_3,2,4,Kanno.ura,,甲浦,Tosa,wood/construction materials,planches,材木,100,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,120,Kazumoto,計主,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
46,52,10,B_3,2,4,Shishikui,,宍唯・宍咋,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,39,0.350 ,2,8,,null,null,null,null,null,null,null,null,null,null,null,,117,Katabeshiro,形部四郎,枝舟,TOI30,Kiya,木屋・木や,,33.567444,134.304861,
47,53,,null,2,4,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,70,koku,,40,0.260 ,2,15,,null,null,null,null,null,null,null,null,null,null,null,,14,Emongoro,衛門五郎,北中辻子,0,Aucun,null,,34.669639,135.174528,
48,54,,null,2,4,Amagasaki,,尼崎,Settsu,rice,riz,米・コメ,8,koku,,100 000,0.000 ,0,0,,Iwashimizu Hachimangū,null,null,null,null,null,null,null,null,null,八幡宮領舟曳年貢物,Redevances domaine Funahiki (Harima),219,Sakongoro,左近五郎,,0,Aucun,null,,34.713861,135.418167,
49,55,,null,2,4,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,60,koku,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,日銭や,0,Aucun,null,,34.669639,135.174528,
50,56,,null,2,5,Mihara,,三原,Bingo,salt,shio,シヨ・塩・シヲ・シホ,90,koku,,41,0.340 ,2,6,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,,TOI8,Doyu,道祐,,34.397739,133.078049,
51,57,,null,2,8,Kuise,,杭瀬,Settsu,algae,arame,荒布・アラメ,60,kokume,,42,0.200 ,2,8,,null,null,null,null,null,null,null,null,null,null,null,,128,Koemonjiro,小衛門二郎,,0,Aucun,null,,34.717917,135.438028,
52,58,,null,2,8,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,20,koku,,43,0.100 ,3,9,,null,null,null,null,null,null,null,null,null,null,null,,197,Saburogoro,三郎五郎,嶋本,0,Aucun,null,,34.669639,135.174528,
53,59,,null,2,9,Shimotsui,,下津井,Bizen,rice,riz,米・コメ,100,koku,五斗ヘウ,44,2.500 ,2,16,此内五百文現銭上二廿一　二月五日　二升　米五斗上二月九二貫五百文二十六日　公方へ定九百文二十六日米代,null,null,null,null,null,null,null,null,null,null,null,,191,Rokurozaemon,六郎左衛門,,TOI8,Doyu,道祐,,34.438083,133.797389,
53,60,,null,2,9,Shimotsui,,下津井,Bizen,beans,fèves,マメ,30,koku,,44,2.500 ,2,16,,null,null,null,null,null,null,null,null,null,null,null,,191,Rokurozaemon,六郎左衛門,,TOI8,Doyu,道祐,,34.438083,133.797389,
53,61,,null,2,9,Shimotsui,,下津井,Bizen,salt,Kojima,小嶋・小シマ,60,koku,,44,2.500 ,2,16,,null,null,null,null,null,null,null,null,null,null,null,,191,Rokurozaemon,六郎左衛門,,TOI8,Doyu,道祐,,34.438083,133.797389,
54,62,,null,2,9,Setoda,,瀬戸田,Aki,salt,Bingo,備後,120,koku,,45,0.810 ,2,29,公方へ　代替二十九,null,null,null,null,null,null,null,null,null,null,null,,59,Hikotaro,彦太郎,六郎左衛門枝舟,TOI13,Emonshiro,衛門四郎,,34.305,133.088806,
55,63,11,B_1,2,9,Shiwaku,,塩飽,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,400,koku,,46,1.150 ,2,18,公方へ　代替二月十八日,null,null,null,null,null,null,null,null,null,null,null,,277,Tarobei,太郎兵衛,,TOI8,Doyu,道祐,,34.38775,133.783972,
56,64,11,B_1,2,9,Shiwaku,,塩飽,Sanuki,oilseeds,perilla,山崎胡麻,83,koku,判紙ハ八十三石起請ハ七［illisible］　余物公事,47,0.275 ,2,29,,null,null,null,null,null,null,null,null,null,null,null,,88,Jirogoro1,二郎五郎,雖然依詫事指置畢,TOI8,Doyu,道祐,元ハ豊後屋,34.38775,133.783972,
57,65,11,B_1,2,9,Tadatsu,,多田津・多々津,Sanuki,rice,riz,米・コメ,10,koku,サヌキ斗,48,1.100 ,2,16,塩五斗上,null,null,null,null,null,null,null,null,null,null,null,,127,Kizaburo,紀三郎,茶や,TOI8,Doyu,道祐,,34.270889,133.751889,
57,66,11,B_1,2,9,Tadatsu,,多田津・多々津,Sanuki,salt,Takuma,タクマ・詫間,330,koku,,48,1.100 ,2,16,,null,null,null,null,null,null,null,null,null,null,null,,127,Kizaburo,紀三郎,茶や,TOI8,Doyu,道祐,,34.270889,133.751889,
58,67,12,B_1,2,9,Yuge,,弓削・以下・弓梳,Iyo,salt,Bingo,備後,160,koku,,49,1.070 ,2,21,公方へ二廿一,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,代替二十九,TOI8,Doyu,道祐,,34.258083,133.205389,
59,68,12,B_1,2,9,Hakata,,はか田・葉賀田,Iyo,salt,Bingo,備後,180,koku,,50,1.220 ,2,18,公方へ二廿一,null,null,null,null,null,null,null,null,null,null,null,,84,Jirobei,二郎兵衛,一貫文代替二月十六日,TOI8,Doyu,道祐,,34.207333,133.092417,
60,69,12,B_1,2,9,Yuge,,弓削・以下・弓梳,Iyo,salt,Bingo,備後,150,koku,,51,1.120 ,2,17,公方へ二廿一,null,null,null,null,null,null,null,null,null,null,null,,279,Taroemon,太郎衛門,一貫百二十文代替二月十七日,TOI8,Doyu,道祐,,34.258083,133.205389,
61,70,12,B_1,2,9,Yuge,,弓削・以下・弓梳,Iyo,salt,Bingo,備後,170,koku,,200 000,,,,公方へ二廿一,null,null,null,null,null,null,null,null,null,null,null,,289,Tarozaemon,太郎左衛門,,TOI8,Doyu,道祐,,34.258083,133.205389,
62,71,,null,3,3,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,250,koku,,52,0.620 ,3,7,,null,null,null,null,null,null,null,null,null,null,null,,213,Saemonzaburo,左衛門三郎,,TOI6,Donen,道念,,34.482111,134.312722,
63,72,,null,3,3,Tonda,,富田,Suō,rice,riz,米・コメ,300,koku,,53,2.300 ,3,15,才公事,Iwashimizu Hachimangū,114.5,Shinzenpōji,21,null,null,null,null,null,null,八幡田中御過書　新善法寺殿御過書,Tanaka,249,Shirozaburo,四郎三郎,百拾四石五斗　二拾壱石,TOI45,Shirozaburo,四郎三郎,,34.074083,131.755611,
64,73,,null,3,3,Hiketa,,引田,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,25,koku,,54,0.120 ,3,12,,null,null,null,null,null,null,null,null,null,null,null,,331,Yokoyama,横山,,TOI14,Emontaro,衛門太郎,,34.226861,134.403528,
65,74,,null,3,3,Tonda,,富田,Suō,rice,riz,米・コメ,650,koku,讃岐斗,55,4.200 ,3,6,米壱石上三月四日　此内三百六十六石　才公事,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,,TOI44,Sezen,世善,,34.074083,131.755611,
66,75,13,B,3,3,Takasaki,,高崎,Aki,rice,riz,米・コメ,750,koku,同斗 [sanuki],56,4.700 ,3,14,米壱石上三月三日　才公事,null,null,null,null,null,null,null,null,null,null,"西室過書七十石
大仏過書二百八十五石
麻生過書百□□石五斗
西室過書三百五十石",,107,Jurozaemon,十郎左衛門,,TOI8,Doyu,道祐,,34.333222,132.937833,
66,76,13,B,3,3,Takasaki,,高崎,Aki,beans,soja,大豆,100,koku,,56,4.700 ,3,14,,null,null,null,null,null,null,null,null,null,null,,,107,Jurozaemon,十郎左衛門,,TOI8,Doyu,道祐,,34.333222,132.937833,
67,77,13,B,3,3,Takasaki,,高崎,Aki,rice,riz,米・コメ,400,koku,サヌキ斗,57,0.700 ,3,14,才公事,null,null,null,null,null,null,null,null,null,null,null,,57,Hikoshichi,彦七,,TOI8,Doyu,道祐,,34.333222,132.937833,
68,78,,null,3,3,Nogami,,野上,Suō,rice,riz,米・コメ,140,koku,讃岐斗,58,0.820 ,3,3,"此内八拾八石五斗　過書　
才公事",Iwashimizu Hachimangū,null,null,null,null,null,null,null,null,null,八幡宮領長門埴生庄,Redevances domaine Hani.u (Nagato),152,Magoshiro,孫四郎,,-1,illisible,,Nom illisible,34.056139,131.801139,
69,79,,null,3,3,Hyōgo,,兵庫（地下）,Settsu,salt,Higashiyama,東山塩,30,koku,partie illisible,300 000,,,,illisible,null,null,null,null,null,null,null,null,null,null,null,,118,Katebejiro,形部二郎,嶋上 ,-1,illisible,,,34.669639,135.174528,
70,80,,,3,4,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,25,koku,,59,0.130 ,3,16,,null,null,null,null,null,null,null,null,null,null,null,,46,Hachirojiro,八郎二郎,匠辻子,0,Aucun,null,,34.669639,135.174528,
71,81,,,3,4,Hyōgo,,兵庫（地下）,Settsu,algae,arame,荒布・アラメ,20,kokume,,60,0.100 ,5,19,,null,null,null,null,null,null,null,null,null,null,null,,195,Saburodayu,三郎大夫,北浜,0,Aucun,null,,34.669639,135.174528,
72,82,,,3,4,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,22,koku,,61,0.120 ,3,9,,null,null,null,null,null,null,null,null,null,null,null,,197,Saburogoro,三郎五郎,嶋本,0,Aucun,null,,34.669639,135.174528,
73,83,14,B_1,3,4,Yura,,由良,Awaji,salt,Mihara,三原・三ハら,65,koku,,62,0.260 ,3,14,,null,null,null,null,null,null,null,null,null,null,null,,13,Emon,衛門,沙ヽ,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
74,84,14,B_1,3,4,Sumoto,,須本・州本,Awaji,salt,Mihara,三原・三ハら,17,koku,,63,0.545 ,3,4,,null,null,null,null,null,null,null,null,null,null,null,,13,Emon,衛門,,TOI30,Kiya,木屋・木や,,34.343889,134.89725,
74,85,14,B_1,3,4,Sumoto,,須本・州本,Awaji,rice,riz,米・コメ,35,koku,半双,63,0.545 ,3,4,,null,null,null,null,null,null,null,null,null,null,null,,13,Emon,衛門,,TOI30,Kiya,木屋・木や,,34.343889,134.89725,
75,86,15,C,3,5,Hyōgo,,兵庫（地下）,Settsu,beans,fèves,マメ,20,koku,,64,1.245 ,4,13,,null,null,null,null,null,null,null,null,null,null,null,,18,Emonkuro,衛門九郎,,0,Aucun,null,,34.669639,135.174528,
75,87,15,C,3,5,Hyōgo,,兵庫（地下）,Settsu,salt,Bingo,備後,130,koku,,64,1.245 ,4,13,,null,null,null,null,null,null,null,null,null,null,null,,18,Emonkuro,衛門九郎,,0,Aucun,null,,34.669639,135.174528,
76,88,15,C,3,5,Hyōgo,,兵庫（地下）,Settsu,salt,Bingo,備後,80,koku,,65,0.570 ,4,13,,null,null,null,null,null,null,null,null,null,null,null,,18,Emonkuro,衛門九郎,,0,Aucun,null,,34.669639,135.174528,
77,89,,null,3,6,Hyōgo,,兵庫（地下）,Settsu,salt,Awa,阿波塩・アわ塩・アワシホ,165,koku,,66,0.340 ,4,11,,null,null,null,null,null,null,null,null,null,null,,,83,Jiro2,次郎,嶋本,0,Aucun,null,,34.669639,135.174528,
78,90,16,B,3,6,Tsurajima,,連嶋,Bitchū,salt,Shiwaku,塩飽・シハク・しわく・志わく,200,koku,,67,1.000 ,4,9,,null,null,null,null,null,null,null,null,null,null,null,,248,Shirotaro,四郎太郎,,TOI8,Doyu,道祐,,34.547,133.732694,
78,91,16,B,3,6,Tsurajima,,連嶋,Bitchū,beans,soja,大豆,30,koku,五斗表,67,1.000 ,4,9,,null,null,null,null,null,null,null,null,null,null,null,,248,Shirotaro,四郎太郎,,TOI8,Doyu,道祐,,34.547,133.732694,
79,92,16,B,3,6,Tsurajima,,連嶋,Bitchū,salt,Kojima,小嶋・小シマ,80,koku,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,5,Danjo,弾正,,TOI8,Doyu,道祐,,34.547,133.732694,
79,93,16,B,3,6,Tsurajima,,連嶋,Bitchū,beans,soja,大豆,50,koku,五斗表,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,5,Danjo,弾正,,TOI8,Doyu,道祐,,34.547,133.732694,
80,94,16,B,3,6,Tsurajima,,連嶋,Bitchū,salt,Kojima,小嶋・小シマ,80,koku,,68,1.100 ,4,9,,null,null,null,null,null,null,null,null,null,null,null,,39,Gorozaburo,五郎三郎,,TOI8,Doyu,道祐,,34.547,133.732694,
80,95,16,B,3,6,Tsurajima,,連嶋,Bitchū,beans,soja,大豆,50,koku,五斗表,68,1.100 ,4,9,,null,null,null,null,null,null,null,null,null,null,null,,39,Gorozaburo,五郎三郎,,TOI8,Doyu,道祐,,34.547,133.732694,
